Organism	Proteome_ID	Assembly	Annotation	Common Name	Euk. BUSCO %	Emb. BUSCO %	Data Usage Policy
Acorus americanus v1.1 (https://phytozome-next.jgi.doe.gov/info/Aamericanus_v1_1)	586	JGI	JGI	sweetflag	98.0	94.2	restricted
Agave tequilana var. Weber's Blue HAP1 v2.1 (https://phytozome-next.jgi.doe.gov/info/Atequilanavar_WebersBlueHAP1_v2_1)	790	JGI	JGI	Weber's Blue agave	98.3	97.0	restricted
Agave tequilana var. Weber's Blue HAP2 v2.1 (https://phytozome-next.jgi.doe.gov/info/Atequilanavar_WebersBlueHAP2_v2_1)	791	JGI	JGI	Weber's Blue agave	98.3	97.4	restricted
Alyssum linifolium v1.1 (https://phytozome-next.jgi.doe.gov/info/Alinifolium_v1_1)	472	JGI	JGI		98.7	98.5	restricted
Amaranthus hypochondriacus v2.1 (https://phytozome-next.jgi.doe.gov/info/Ahypochondriacus_v2_1)	459	BYU	BYU	grain amaranth	91.7	77.6	unrestricted
Amborella trichopoda v1.0 (https://phytozome-next.jgi.doe.gov/info/Atrichopoda_v1_0)	291	AGP	AGP	amborella	94.4	84.5	unrestricted
Amborella trichopoda var. SantaCruz_75 HAP1 v2.1 (https://phytozome-next.jgi.doe.gov/info/Atrichopodavar_SantaCruz_75HAP1_v2_1)	727	JGI	JGI		99.0	93.5	restricted
Amborella trichopoda var. SantaCruz_75 HAP2 v2.1 (https://phytozome-next.jgi.doe.gov/info/Atrichopodavar_SantaCruz_75HAP2_v2_1)	728	JGI	JGI		99.0	94.0	restricted
Anacardium occidentale v0.9 (https://phytozome-next.jgi.doe.gov/info/Aoccidentale_v0_9)	449	JGI	JGI	cashew	96.7	91.1	restricted
Ananas comosus v3 (https://phytozome-next.jgi.doe.gov/info/Acomosus_v3)	321	FAFU/UIUC	FAFU/UIUC	pineapple	92.1	89.3	unrestricted
